rest_link,budget_dummy,discount_dummy,chain_dummy,city_dummy,longitude,latitude,pic_count,primary_cuisine,cuisines_list,cuisine_names,categories_count,category_names,products_count,products_names,feat_products_count,feat_products_names
a3do/zao-chi-wu-xiang,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,54,台式,"['早餐', '台式']",早餐台式,12,早安套餐捲捲飯管和風食材總匯吐司類麵食類焗烤厚片類台式蛋餅類點心類澳洲乳酪餅類蔥抓餅烘烤吐司飲料類,166,咖啡套餐肉鬆玉米蛋飯捲熱狗玉米蛋飯捲火烤豬排蛋飯捲香檸雞柳蛋飯捲泰式香雞蛋飯捲【辣】檸檬雞柳蛋飯捲【辣】德式香腸蛋飯捲泡菜燒肉蛋飯捲（辣）煙燻雞肉蛋飯捲洋蔥燒肉蛋飯捲辣煎雞腿蛋飯捲厚切牛排卡拉雞腿蛋飯捲勁辣雞腿蛋飯捲深海鮪魚蛋飯捲花枝排蛋飯捲深海鱈魚蛋飯捲海鮮蝦排蛋飯捲素鬆玉米蛋飯捲蔬菜蛋沙拉飯捲牛蒡素香鬆蛋飯捲素肉排起司蛋飯捲里肌蛋香雞蛋燻雞蛋雙雞柳蛋燒肉蛋滑蛋起司香腸藍帶豬排蛋巨無霸海陸蛋勁辣蛋堡卡啦蛋堡牛肉培根蛋辣煎雞腿蛋北海道炸蝦【厚】豬蛋【厚】牛蛋豬排總匯香雞總匯燒肉總匯燻雞總匯巨無霸總匯【厚】豬總匯【厚】牛總匯藍帶總匯卡啦總匯勁辣總匯辣煎雞腿總匯單點宮保雞丁麵、蛋單點蘑菇烏龍麵單點黑胡椒烏龍麵單點宮保雞丁烏龍麵單點蘑菇烏龍麵、蛋單點黑胡椒烏龍麵、蛋單點宮保雞丁烏龍麵、蛋單點黑胡椒鐵板麵、蛋玉米培根焗烤厚片夏威夷焗烤厚片燻雞焗烤厚片燒肉焗烤厚片香腸焗烤厚片厚豬焗烤厚片厚牛焗烤厚片起司蛋餅培根蛋餅花枝蛋餅燻雞蛋餅燒肉蛋餅里肌蛋餅薯餅蛋餅九層塔燒肉蛋餅九層塔里肌蛋餅德式香腸蛋餅芥末厚豬蛋餅芥末厚牛蛋餅卡啦蛋餅勁辣蛋餅辣煎雞腿蛋餅薯餅【1片】里肌美式起司蛋花枝熱狗德國香腸芙蓉蛋捲雞米花雞塊可樂餅薯條藍帶蘿蔔糕煎餃卡啦雞腿肉勁辣雞腿肉薯餅【2片】薯餅蛋塔芥末厚切豬肉芥末厚切牛肉炸元寶辣煎雞腿排日式去骨雞排魚柳條雞柳炸蝦里肌肉乳酪餅燻雞乳酪餅花枝乳酪餅牛排乳酪餅燒肉乳酪餅【厚】豬乳酪餅【厚】牛乳酪餅原味蔥抓餅夾蛋蔥抓餅九層塔蔥抓餅培根蛋蔥抓餅燻雞蛋蔥抓餅燒肉蛋蔥抓餅豬排蛋蔥抓餅沙拉吐司千島吐司奶油吐司草莓吐司藍莓吐司香蒜吐司奶酥吐司橘子吐司花生吐司巧克力吐司抹茶吐司錫蘭紅茶【特大】錫蘭紅茶【大】錫蘭奶茶【特大】錫蘭奶茶【大】咖啡牛奶【特大】咖啡牛奶【大】豆漿【特大】豆漿【大】阿華田【特大】阿華田【大】鮮奶茶【特大】鮮奶茶【大】鴛鴦咖啡【特大】鴛鴦咖啡【大】摩卡咖啡【特大】摩卡咖啡【大】柳橙汁【特大】柳橙汁【大】百香果汁【特大】百香果汁【大】雪碧【特大】雪碧【大】可樂【特大】可樂【大】可爾必思【特大】可爾必思【大】蘋果紅茶【特大】蘋果紅茶【大】百香紅茶【特大】百香紅茶【大】可可歐蕾【特大】可可歐蕾【大】拿鐵咖啡【大】焦糖拿鐵咖啡【大】研磨咖啡【中】,6,卡啦蛋堡【厚】牛蛋豬排總匯單點蘑菇烏龍麵、蛋單點黑胡椒鐵板麵、蛋薯餅蛋塔
y1it/chao-bu-dong,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,9,台式,['台式'],台式,3,飯類麵類湯類,16,牛肉蛋炒飯蝦仁蛋炒飯肉絲蛋炒飯櫻花蝦蛋炒飯香腸炒飯蛋炒飯牛肉炒麵蝦仁炒麵肉絲炒麵麻辣牛肉炒麵麻辣豬肉炒麵麻辣蝦仁炒麵青菜炒麵蛋花湯青菜湯蛤仔湯,6,牛肉蛋炒飯蝦仁蛋炒飯肉絲蛋炒飯櫻花蝦蛋炒飯香腸炒飯肉絲炒麵
z0qd/hai-feng-tu-tuo-yu,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,8,台式,['台式'],台式,4,焿湯類湯類飯類小菜,12,土魠魚焿湯紅燒赤肉焿湯沙茶花枝焿湯藥燉排骨湯荀絲魯肉飯魯肉飯魯肉飯便當土魠魚便当紅燒赤肉便當紅燒肉五香肉卷炸餛飩,4,土魠魚焿湯藥燉排骨湯荀絲魯肉飯NANANA
z1jq/dian-chang-ya-xie-xin-bei-ban-qiao-san-min-dian,3,False,dian-chang-ya-xie,new-taipei-city,121.7714614868164,24.9864559173584,6,台式,"['台式', '火鍋']",台式火鍋,1,特色湯底鴨血豆腐鍋,6,日式原味鍋重慶麻辣鍋泰式酸辣鍋洋蔥咖哩鍋南洋沙茶鍋韓式泡菜鍋,3,南洋沙茶鍋韓式泡菜鍋NANANANA
yjxe/da-xin-zhuang-zhu-chang-dong-fen,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,17,台式,['台式'],台式,6,湯麵系列飯系列其他麵系列湯系列小菜系列,38,豬腸冬粉大腸頭冬粉嘴邊肉冬粉骨仔肉冬粉貢丸冬粉肝連冬粉餛飩麵招牌滷肉飯火雞肉飯辣菜一包乾麵切仔麵陽春麵特製乾麵魯肉大腸頭湯豬腸湯骨仔肉湯肝連湯嘴邊肉湯豬肝湯貢丸湯青菜湯餛飩湯滷大腸頭滷大腸嘴邊肉肝連豆皮滷豬皮煙燻豬頭皮筍絲燙青菜滷豆腐油豆腐素雞五香豆干海帶滷蛋,6,豬腸冬粉招牌滷肉飯火雞肉飯乾麵骨仔肉湯燙青菜
z8un/ka-li-kuai-chao,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,14,台式,"['台式', '咖哩']",台式咖哩,4,單點類小菜類湯類飲料,20,Double 黑豬肉絲Double 蝦仁（照片為蝦仁寬粉）Double 蛤蜊（照片為蛤蝦烏龍）海陸【豬、蝦】海陸【豬、蛤】Double 海鮮【蛤、蝦】蝦仁牛肉什錦什錦湯麵黑豬肉絲青菜炒牛肉白飯燙青菜【季節青菜】綜合魯味【豆干海帶魯蛋】皮蛋豆腐貢丸湯紫菜蛋花湯蛤蜊湯可樂,6,Double 黑豬肉絲Double 蝦仁（照片為蝦仁寬粉）Double 蛤蜊（照片為蛤蝦烏龍）海陸【豬、蝦】貢丸湯紫菜蛋花湯
z4qb/chou-da-wang-cui-pi-ma-la-chou-dou-fu,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,13,台式,['台式'],台式,3,脆皮臭豆腐系列麻辣臭豆腐鴨血系列套餐系列,13,單點泡菜臭豆腐【小盒】5塊臭豆腐【大盒】7塊招牌臭豆腐+鴨血蒜味泡飯湯雞絲麵湯泡麵湯冬粉湯泡飯封面二人歡樂餐脆皮+招牌麻辣脆皮+蒜味泡飯脆皮【大盒】+脆皮【小盒】+泡菜一份,6,臭豆腐【小盒】5塊臭豆腐【大盒】7塊招牌臭豆腐+鴨血湯雞絲麵脆皮+招牌麻辣脆皮【大盒】+脆皮【小盒】+泡菜一份
p5di/du-ling-feng-sao-xiao-huo-guo,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,23,台式,"['台式', '火鍋']",台式火鍋,6,鍋類單點區【肉品】單點區【海鮮】單點區【火鍋料】單點區【青菜類】單點區【主食類】,43,神級海鮮鍋霸王羊肉鍋帝王牛肉鍋（巴拉圭）天王豬肉鍋（本土豬）鬼王鮮蝦鍋魔王大腸鍋龍王魚片鍋閻王雞肉鍋終級螃蟹鍋冥王鴨血豆腐鍋無級干貝鮑魚鍋牛肉羊肉豬肉大腸雞肉蝦子魷魚干貝鮑魚米血豆皮貢丸花枝丸蒟蒻小捲鑫鑫腸素腰花甜不辣條皮蛋魚板蚵白菜金針菇高麗菜白蘿蔔板豆腐木耳杏鮑菇大黃瓜香菇花椰菜白飯泡麵冬粉,6,神級海鮮鍋霸王羊肉鍋帝王牛肉鍋（巴拉圭）天王豬肉鍋（本土豬）龍王魚片鍋冥王鴨血豆腐鍋
z9ih/qiao-wei-niu-pai,2,True,,new-taipei-city,121.7714614868164,24.9864559173584,10,台式,['台式'],台式,1,精選主食,12,特製牛排香嫩豬排香酥雞排厚切大沙朗菲力牛排鐵板麵雙肉排【牛、牛】雙肉排【牛、豬】雙肉排【牛、雞】雙肉排【豬、雞】雙肉排【豬、豬】雙肉排【雞、雞】,6,厚切大沙朗菲力牛排雙肉排【牛、牛】雙肉排【牛、豬】雙肉排【牛、雞】NA
c3sm/xin-ji-shou-gong-jian-jiao-xin-bei-tu-cheng-dian,3,True,xin-ji-shou-gong-jian-jiao,new-taipei-city,121.7714614868164,24.9864559173584,8,台式,"['台式', '餃子']",台式餃子,1,精緻餐點,8,原味手工煎餃【15粒】原味手工煎餃【30粒】醬油味手工煎餃【15粒】醬油味手工煎餃【30粒】辣味手工煎餃【15粒】辣味手工煎餃【30粒】綜合醬辣味手工煎餃【15粒】綜合醬辣味手工煎餃【30粒】,4,原味手工煎餃【15粒】醬油味手工煎餃【15粒】辣味手工煎餃【15粒】NANANA
